"O_AesSens","N_Depr","N_EmoVol","O_IntCur","C_Org","A_Rspct","C_Rspnbl","A_Cmpn","O_CrtvImag","C_Prdctv","A_Trust","N_Anxty","count","satisfaction"
3,2,2.51975455325767,3.43061246514868,2,4.50025517630841,4.42252422666972,3.41410868820063,4,2,2.4275481640707,2.5,1,4.12134774867445
4.88357726071793,1.5,1.99957447815616,4.0043181017236,4.03818119432716,5,4,2,4,2,3.13908074084892,4,2,1.2724935784936
2,2,1.53093072938667,3.3346169089094,3.05794093533702,3.09769706673966,1,4,2,2.38104612370362,3.4707677113815,4.5,3,1.01080887205899
2,2,1,4,2.74373923542633,4,4,4.73959280794968,4.1377270302,4,5,2,4,3.83857252076268
2.96758731078759,1,1,4.00471087012708,4,5,5.24865796997584,4.4787165472274,4,5,3.764610428642,3,5,4.99640527088195
3.58488798763646,3,4,4.00224962124499,3.40834956747616,4,4,5,4,3.68102066632461,3.27457809608891,3,6,1.50101229175925
4,4,2.00109566823296,4,2.5,3.99289791048671,4.18285100680409,4,2.76267887857495,4.01838027716076,2,3.5,7,1.51346541009843
2,2.5,2,2,1.42368660959458,4.5,2,3.53075163962042,2.11314898589553,2,4.29540996798272,3,8,2.60964420065284
3,3,2,4,2.32202515180006,4,4,4,2.33420061677411,2,3.23263511837474,3,9,4.65377826895565
2,1.66666666666667,2.45631597097903,2.46756773720186,2,5,3.8607403295219,5.15255330505055,5.18848715517592,4,4,2,10,2.1684787273407
3.38412549257197,3.33333333333333,3.29777788253296,4.5,2.66411280911141,5,2,1.78672314374642,1.01846099333104,2.88411714541005,3.04603119981109,5,11,3.28225128725171
5.38244250511413,1.5,1,4,4,5,4.46322166879584,4,4,3,5.47104089673286,2,12,2.0310742482543
3.65056110291356,2,2,3.99597721586488,4,4.4088643424917,2.87830303047253,2,2,2,4,2,13,3.96100420877337
3.65109512551291,2,2.00406088996666,2.67574522670904,3,4.29235328095901,4.22432581307313,4,4,3.61904266245375,4,2,14,2.60200817044824
3.52001242030261,1.5,2,4.771749388131,3.38279047938415,4.43938707765342,4,4,4,3,2.29477074439754,2,15,1.01567482482642
1,1,2,1.73636853526447,3.8987840426844,3.17025941161236,4,2.23930916901144,4,5.88824372929358,4,2,16,1.02962111867964
1.8770204108714,1,2.0006600328941,5.06158134788575,3.97528834657822,3.04249362440852,4.79229876763956,3.5,4,4,3.41767276366878,2,17,4.676982736215
3.87015838770603,3,2,4,2.71051654188953,4.5574370480368,4,3,4,1,1.66316575074746,5,18,3.7427541622892
5,1,1.02474010491222,3.7906576083248,5,4.88720022923197,3.89276465852851,5,5,1,5,1,19,1.44085828680545
4,2,1.75068576121058,4,3.97507496932792,5.18601148079882,4,4,5.15680233112885,5.79855744732931,4,2,20,2.94043855834752
4,1.5,2,1.78172949786518,2,4,3.64188036474749,2,4,4,3.76783489048772,2,21,4.96944340597838
1.53923691903338,2,1,3.5,5.05830159104574,2.96596057447204,2,4,2.232176275548,2,4,3,22,3.85380547028035
3.24793365574907,2,2.61828882829479,4.51682848520368,3.6805422518994,3.2696302669849,4.08637371268858,4,4,3,4,2,23,2.55650853738189
4,1,1.5,4.1758822177314,3.51913045353864,3.44355235274394,3,4.5,4,4,5.34907998559742,2,24,2.43651631101966
2,4,3.26882780537533,3.16002635497292,3.99250798058176,3.99942084949395,1.84816203317478,2,4,2,2.41877804831067,2.66666666666667,25,1.83211340755224
4,2.5,4.35819128517012,3.74797070282365,3.14777060206758,4.10982432722799,2,5,4,2,4,3.5,26,1.55051167868078
3.48562337085639,1.66666666666667,2.79143429587702,4,3.54241943976011,5,4,4,4,4,2.7252186553425,2,27,3.92155971191823
5.12794848704463,2,2,4,4,2.9803344942451,5.5397897818653,4,4,4,4,2,28,4.82648533117026
3,2,1,3.48523851300641,2,5,4,5,4,3.61011136445704,5.53773427255461,2,29,4.886365567334
4.43698234962444,2,1,4.00154037324832,3.89180574570603,4,3,4.38063371381148,4,3.09025396403609,4,2,30,1.98553105443716
2,1.66666666666667,2.29487310659414,2.92802902320779,3.70118835713179,4.51730049040012,4,4,4,2,5.15789029399133,2,31,4.33788279350847
4,2,1,3.28600370433373,2,5,4,4,4,2.52992629880333,3.9230444539656,2,32,2.75527900550514
3.22637819266339,3,2.52398847323291,3,4,3.17627720682588,3.17980810475277,3,1.88322201644087,1,4,3.33333333333333,33,1.39517773501575
2,2.33333333333333,3.66808331218084,2,2,2,4,4,3.16056108403652,2.98167073382451,3.3401135601727,2,34,1.26151486299932
1,2.5,3.63542792343302,2.9145100831175,2,3,1.92611928089449,3,2,3,3.76657198830732,4,35,3.39552680589259
