"E_Assert","N_Depr","N_EmoVol","C_Org","A_Rspct","C_Rspnbl","A_Cmpn","E_EnerLev","C_Prdctv","A_Trust","N_Anxty","E_Scblty","count","satisfaction"
3.30260895928494,3,1,3.03712759128299,5,5,5,3,4,4.36352811998914,4,4,1,3.69574154913425
1,2,1,1,4,2,2,0.00427308973456553,0.399080280957521,3.56285468766273,4,3,2,3.58335763309151
3.00807596685443,2,2,4.23408674697555,2.3536559904227,1,2,4,1,2,3,4,3,1.68823353480548
4,3.5,2.21767932235642,2.97738825665108,4.5330611682743,1,1.5,3,4,2.78696391016601,3.5,2.14513989856963,4,2.7388576855883
2,2,2,3.34792129936055,4.5,2,2.75192223582411,5,2,3.69962879962903,4,3.91604661076979,5,1.28755243122578
3.04403389839682,4,3,1,2,1.61294583086615,2,4,3,3.13862773043835,5,2,6,1.827312476933
2.98976596557425,2.5,3.36162985006249,3.5,4.16970244345532,2.76759602960698,4.17448460247595,1,3.3870439278606,3,3,4,7,2.89240652881563
3.14596778187411,2,1,3,5,2.41222676892293,4,4,2,3.45515827633957,4,5,8,2.03202659916133
1,2.5,4.8139310979173,2.42437245331214,4,4,3.40487450487671,3,2,4,4,2.98347255769143,9,4.26211119350046
4,2,2,3.86835042998522,2.65962704338618,2,4,4,4,4,4,3.13344849955085,10,4.9984412305057
3,3,2,4,4,4.0249688998203,4.25430153401388,4.10902750794305,2,3.25195938763634,2.5,4,11,2.45381286740303
1.85444498227082,2,3,2,4,4.20786459456339,3.71300513314951,3.85965459936255,2,4,3,3.5,12,1.93956221733242
1,2.5,4,1,4,2,2,1,2.02399221127733,3.81021212873501,4,2.02474680692799,13,2.72399747557938
1.88166889195151,2,3,2.58855836229118,4.37726556920554,2,2,2,2,4,4,2,14,1.81631517224014
2.55661339991967,2,3.50206735193318,2,4,3.45410377437345,3.44059420976428,1.83771155664624,2,4,4,4,15,1.66730159241706
1.5,3,1,2,4,2,1,1.6011247402616,4.56681494581587,3.23797521562398,2.5,0.853631868176407,16,1.74954100139439
3,2,1,2,4,3.32696531190345,2,2,2,2.67326934447591,2,3.49870889822673,17,3.01170898973942
2.67959979125286,3.5,4,2.13141257265983,2,2,3.72114749691558,1,1.9188779446664,3,4,3,18,1.26735229603946
2.77821002676684,3,2.45565084001837,3,4,3.52091575421825,4.42660637083173,3,1,3,3.33333333333333,4,19,2.5425527933985
2,3,1.5349002910063,2.30618815367803,4.15248291465394,2,3,1,1,3,3,3.0771123247218,20,1.31663583684713
4.05457557821873,3,1.69249463172654,4.81685049179929,4,2,3,3,2,3.51684028435803,2.5,1,21,4.43983352743089
2.64202205094798,3,1,3,5,3,2.19404839665629,1.30190599042871,2.51299214037659,3,2,2.5,22,2.42130900081247
3.51836484412623,2.5,1,2,4,4.61537695754342,3.45722536570692,1.5,3,3,3,1.93858131613197,23,1.95505354553461
3,2,1,3.84804401217004,3,4,3,4,1,4.3772954878576,3,3.31493587387274,24,1.85932334698737
2,2,2.85386303613822,2.34491750848018,3.76273962094389,1,2,4,1,4,4,2.95618993648846,25,1.3882965920493
3,4,1,3,4,3.11781667423949,2.75263674247948,1.85034900659423,2,3,3,3,26,3.39546373672783
1.45552131572815,3,2.9221388119202,2,4,1,4.55722393567245,2,1.26961804102893,4,3.5,2,27,2.3288211543113
2,3,2,4,5,4.92659916649295,4,1,1,2.08121106998277,2,1.77854070247003,28,3.31386967003345
3,4,2,1,3,3.13494742785291,1.80073823724013,3.71914212737912,3,2.58043611364217,3,3,29,1.78866853844374
1.29505381354428,3,3.56703023484517,2,2.47491461426293,2,2,1,2.02350931911604,3,2.5,2,30,4.47041250579059
3,2,1,5,4,2.89253259490726,3,3,4,3.18509453319478,2,2.92049793537336,31,2.52356848586351
3,2.33333333333333,1.99703958842361,4,3.50310618469728,4,4.52869044073299,4.64692782572527,3.77565202380171,3,2,6.89948904065452,32,1.00291835609823
2.13303802842392,2,2,3.15629017579955,4,3.52490256760449,4,2,2.5,4.91632867009408,2,3,33,1.50323470681906
3,2,3.03839850075029,2.11594397210619,4.06726732993799,2,4,3,4,3,1.5,2.23918684297176,34,3.60057069174945
