"O_AesSens","N_Depr","N_EmoVol","O_IntCur","C_Org","A_Rspct","C_Rspnbl","A_Cmpn","O_CrtvImag","C_Prdctv","A_Trust","N_Anxty","count","satisfaction"
3,4,3.03778524207384,2.84805617127106,2.98525330298593,4.34825645529067,3.90861234699654,3,3,3,1.69434486351338,4,1,3.52209584228694
3,2,2.99640051946716,4,3,4,1,4,2.56153938755701,2.40696836382414,4.14562632967704,3,2,3.02854965999722
4.14865958302643,1,2.56838032441634,3.6494412657153,2.93044172697914,4,5,4.27303641390928,3.5,4,3,3,3,3.08623020816594
3,1.5,2,4,4.85833498686607,4.5,5,4.42640118405835,4.47703564372298,4,3.44673103879519,2,4,3.28708347119391
2,4,4,1.91761690559854,2.9771883766433,4.41896834772111,5,3,2,3.41328093668064,3,4,5,1.13350037205964
2.48610888869622,2,3,4,5,4.29479707674433,3.23773352427295,4.5,3.58218965455825,5,4.34894746060275,4,6,2.28788925148547
2.99561590446623,1,1,5,5,5,5.78410345561124,4,3.22409561740994,4,3.49970059072331,1.5,7,4.89590370841324
3,3.5,3.27938380392035,1.54918483037471,1.99051573168045,4,3,4,3,2,4.07364704753465,4,8,2.0871116630733
3.43728547834512,2,1,5,3,5,4.57563548624553,5.06564457101442,4,5,5,3,9,4.29583535529673
3,1,2.62239408400508,5.00552075840948,3.87229678556562,5,5,4.20759116597704,4.33413969388106,5,4.44191622811403,3.33333333333333,10,3.03857484925538
2.01365006833344,2.5,3,3,3.82768971162185,3.41449971094332,4.0841119199504,3,3.20393135743076,3.5,4,3,11,4.3029248919338
2.3372874942559,3,4,1,2,1.14453017758377,2,4,5,2.06409947785776,4,3.5,12,2.09794774465263
3,4,3.09607905523376,3.36719696687595,3,5,4.52318615184895,5,3,1.26874568219601,2.82843485516196,3.66666666666667,13,3.07354476395994
2.49960749316555,3,3.75936263706674,3,3.009833576823,3,1.93744465195918,3.75790398952318,3,3.60813387616638,3,3,14,1.12892000004649
2.95024451694244,3,3,3,2.78272244685295,3.69983995907009,3,3,3.14100472627334,2.1360313795647,3,3,15,1.37897268682718
3.00417036422105,3,3,4.28117688283494,3,3.94570266654731,3,3,3,1.87977735161574,3,3,16,1.90719407983124
4,3,5,4,4,5,4,3.38395594582968,3.4811812420152,2.5703626146876,2,4,17,2.21088106092066
4.11360232613808,3,3,3,3,4.03568640933197,3.11062161945291,3,3,3,3,3,18,1.45426781103015
3,1,1,4.8358915974522,5,3.80495227504269,3.0053903778098,5,2.63004973494552,5,4.13514635252541,1,19,1.86814463604242
2.12995714761161,3,3,3,2.84683250343293,3,3,2.75986191566025,2.460026448702,4.08137405784497,2.51885130700069,3,20,1.65270510036498
2.10855663017421,2.33333333333333,1.65766306122122,3.33529980085595,5,4.5,5,4.9156076663538,4,3.34233001768509,2.48161907184332,3,21,1.80344881396741
3.13324798714957,2,1.76085788337789,3.14631904582098,5,4.01819969123991,5.16714992994649,2,3,5,3.83486657409788,2,22,1.49869745317847
4.1704374466037,1,3,5,3.96009029434435,5,4.85047872357926,4.32597895348275,5,5,4.68419409666074,3,23,1.78915689978749
