"O_AesSens","E_Assert","N_Depr","N_EmoVol","O_IntCur","A_Rspct","A_Cmpn","O_CrtvImag","E_EnerLev","A_Trust","N_Anxty","E_Scblty","count","satisfaction"
4,4,1,2,3.35361205614293,4,2.57445802561918,3,4,4,2,5.48201778066112,1,1.38077922724187
2.85902053902101,5,1,1.53958389640908,4,5,4.01613562657195,3,3,5,1.33333333333333,2.62315866053773,2,3.37478087935597
4,5,1,2,5,5,5.36171709462161,3.74981255570158,5,4,1,2.95921729205558,3,4.04856553394347
2.5,2,1,1,3.16941079064464,4.5,4.46965080828412,3.15234403240985,4.30241787313527,3.985566249431,1,3,4,1.22295875195414
1.7627190571819,2.48442417129853,1,1.58856933826513,2.18771199430243,5,3.06147729109533,3,3,5,1.5,4,5,1.53986010793597
3.05596964026384,5,1,0.858059448904136,5,3,4.85453275968983,4,2,5,1,4.36696813762922,6,2.52177126705647
5.11699431350725,5,1,0.983739572475978,5,4.09467771750025,5,3,3,3,1,3.29944559183815,7,4.37322414107621
3.29659615126581,5.42907810605215,1,2,5,4,4,4,4,3.73871923408985,1,6.25755794418072,8,2.88384611904621
2.91259869146488,4,1,0.853200391696954,3.98641666991561,4.94490007647916,5,5,4.80211903287253,4.7658092937314,1,2,9,1.35070790909231
4,3,1,1.5,5,5,4.50119608349597,2.35449815926362,4,3,1,3.53195024145284,10,1.98901238292456
4,1,1,1,3.76697604953328,3,2.89616113694208,4,3,3,1,3.89169254609411,11,1.4229335822165
5.29783562468711,4.69295724845473,1,1,4.50419390912072,4.90390345205798,5,4.5,3.65537116627682,4.02764521113285,1,4,12,2.54093761648983
4,2,1,2,2.30489798069205,2.99024323070596,4,2,2.60180765737298,4,2,0.598041284437046,13,4.61844277847558
1.56236506219533,3.13535369777365,1.5,2.45666799533119,3.50970306073336,4.18310182009978,2,2.758510457076,2,5,1.5,2,14,3.92017046548426
2.6938547358983,4.5,2.5,3.97183484405332,3.5439609023715,3.56534717587786,2.34836054070141,2,2.61699958127824,4,3,2.25069733445517,15,4.01090018264949
5,4.20528668833819,1,2,4.02469954599439,4.03011801752965,3.2776304405289,3.43737172333446,4,3,1.5,5,16,4.018848111853
4,2.86944670231058,1.5,1.07923754591729,3.8841443003301,2.51821310283096,5,2,3.5,3.75075064851063,1.5,3.52553083537585,17,2.32565602660179
5,3.013729192983,1,1,4,4.02662088031386,2,4.54741746221981,5,4.23072158575467,1,3,18,3.63397030904889
4,3.0911245133447,1,1.00395951204804,4,4.70466796107507,4.66925138733614,3.75120168071285,4,3,1,3.72674785659515,19,4.46609802450985
2,5.69383205482325,1,2,4.0744724274626,5,5.04012169180721,4,2.5,3,1,3.02379866082111,20,3.95397989265621
4,4,1,1.49791854694504,5,5,5,4.75235588504863,3,2.86407876171996,1,3.53106192905372,21,4.49142135865986
2.06423106836243,2,1,2,4,4.00483901492658,3,2,4,3.16374224796603,1.5,2.89424217509928,22,4.07164050266147
3.133938751269,4,1,2,3,4.72038948634755,3,4,4,5,1,3.5028206634658,23,2.43145150132477
3.5,1,1.5,0.0179327887084213,2.93967618362186,4.28228773332818,2.93118327593231,1.9041379156147,2,4,1.5,2.57697555832435,24,3.94011875335127
4,3,1,1.00571065256128,3.38798712235636,4.86594494676561,4,3,2,3,1,4.22451324373249,25,1.25654199626297
4,2.5824781319854,1.66666666666667,1.49285676214186,4.28233852934295,3.39449914210014,4,2,4,5,1,4,26,4.43712619878352
5,3,1,1.01143700046445,3.94216795980667,4,5.03404312653709,3,4,5,1,3.87040684433021,27,3.58982562925667
3,5,1,2,3.57888418658301,3.57080204551128,4,4.20818871865275,3,3,1.5,3.18471614097844,28,3.25776961725205
2,3.01623991481553,1.5,1,4.05973328210256,4.48283966190899,2.18077789879717,2,2.71091917449593,3.68119106327279,1,2.5,29,3.84030510857701
3.84775717792241,3,1.5,0.697588352249337,5,5,3.51204244449794,4,4,5,1,1.21978272445028,30,4.54343548137695
4,2,1.5,2,2.38861024481144,5,4,3,3.54102556666479,3.36409819567831,1,4,31,1.27750968839973
3.82875596037629,3.63993725372794,1,1.80515266974639,5,4.50573943017947,4.26564041020584,3,4,3.43034214442813,1,4,32,4.65080029331148
3.17590119358215,5,1.5,2,3.55743597771221,5.87474413860097,5,3,4,4,1,5.53556805987315,33,1.30455667711794
3.00453112914057,4,1,0.995788702127409,5,4.02524124678698,4,4,5.92874706929657,2.33028185188112,1,4,34,4.54485417064279
4.13216388719314,4,1,1.49408075213571,5,4,4.30557784889054,3,2.08419321412698,5,1,3,35,1.40304389130324
3.94846917867531,3.84221505160134,1,1,5,3.97540626761299,5.38010205677556,4,2,4,1.5,4,36,2.97379901446402
3.32176433902932,2.52256032290272,1,2,4.01329998223843,5.80789788135504,5,4,2,4,3,4,37,4.05133962538093
4,4,1,1.01168301878749,3.67612701935498,4.3120224395652,4,4,3,2,1.5,3.86649984791792,38,1.82647579815239
2.80400666464938,5,1.5,1.46799175906249,4.44555676372095,4,5.26133164502745,3,5.5551065376633,5,1.5,4,39,2.48507159482688
4,3.92014335680745,1,1,1.21084888504429,4.68823551807798,4,4,4,3.17882057961036,1.5,2,40,3.70389793906361
4,3.5,1,1.11901513405054,5,4.6229179649094,5,4.72835998223026,4.31308313919704,5,1.5,4.28278981644393,41,4.30044537968934
1,2.27665322232339,1,1.5,4,3.50343566589181,4,5.97208429818232,2,1,1,5,42,1.41415011137724
4.36625806497064,4,1,1.5,5,4.0642866140403,4.51907506674452,4.12654362134298,3.31814966091731,4.5,1,2,43,4.80991437099874
3.60207711607327,4.39752512610929,1,1,4.5,5.28851719569915,4,3.31486723805061,3.5,4,1,3.54430376075014,44,4.46139827091247
1,4,1.5,0.594473707045715,3.98946647845127,5,5,3.59265993386627,3.22597530413333,4.37406222306675,1,2,45,2.55830567795783
5,1.53333542802436,1,2,3.66239686588799,4.51374278518942,3.52745783572431,4,2,3.08785357996644,1,2,46,3.8866918887943
4,4,1.5,1.3338074558794,5,4.55110614422296,4,3.38616409989251,4,5,1,2.53052392674479,47,4.97444863338023
