"O_AesSens","N_Depr","N_EmoVol","O_IntCur","C_Org","A_Rspct","C_Rspnbl","A_Cmpn","O_CrtvImag","C_Prdctv","A_Trust","N_Anxty","count","satisfaction"
4.30063971388965,2,1.08065999131023,3.43942226639788,3.69653411852903,4,4,3.86791145974472,4,3,4,2.5,1,3.33821788337082
1.78050920282693,2.5,2.634754958916,2.62046820550524,2.75980226306156,4,3.08124209824256,3.64054070066967,2,4,3.00342702816359,2,2,2.74240393936634
3.10292828021591,2,2.73301410579638,4,4,4,3.85344034286504,4.76033673465309,3,4,3.9174531046818,2,3,2.59887096378952
2.72492902965921,1.989027018753,1.98820712292962,5.71100637341632,3.97744615659751,4.03270389337953,4,3.99463557770225,4,2.98582094994719,3.29310797583653,4,4,1.32178575638682
4.08983513427981,2,3,3,3.97779027977679,4.00139908817684,3.38363742112374,4.39015149450794,3,3.5,2.42092146306501,2.5,5,3.80898184422404
4,2,2.09483115386887,4,4.04120991779902,3.56062364678304,4,3,3.76597213708206,5.86421053558544,4.23361140021758,2,6,4.76434295531362
3,3,3,3.05648966509758,3,3.75448890717612,2.8647931057891,3.82103716430889,3.5520636204087,3,3,3,7,4.04997333791107
2,3,2.91733643476164,2.98414761554457,3,4.66529384008604,3,3,3.14082017081494,3.01526059670532,3,3,8,2.50561695545912
2,2.5,3,4,4,3,5.26457991539127,3.54948345852877,3.17710087937146,4,4,4,9,1.17049751617014
3,2.5,1.9966621440586,2.70604792902809,4.18178865893002,4.52368003356364,3.17223695932147,3,3.44154294666865,4,4,2,10,4.67790428828448
3.07581008294463,3,2.08242173721661,3,3,2.78392397007074,4,4,3,2.97512365343075,4,2.5,11,3.78732751961797
4,2,2,2.20725778974437,4,4,2.87664315149893,4,2.71406298703966,2.93480883822567,3.71009019073467,2,12,2.22286481689662
3,2,2,4,3.98848861390199,4.5577049891629,2.85417606289735,4.15460426490271,2.59735747504449,4,3.5,3.5,13,2.95978730358183
2.7306810059359,2,2.00076589221946,3,4.84141255095985,4.91902768275326,4,3.36102888174151,3,4,3,2,14,4.588249550201
3.5,1.98904142491699,2.09187002846322,2.01930281770098,4,4,2.91724068079594,4.54724213630217,2.32414416240469,3.22475865817718,4,3,15,2.33470921870321
2,1.99980121593292,1.07709370842842,3,4,4.73902145315383,3.57345416936402,3.98512582889424,3.2488743185277,4.20688767710289,4,3,16,1.38147252891213
3.52721712255263,2,2,4,3.34102296218393,4,2.0913932269722,2.00590904064625,4,4,3,3,17,4.76356596220285
2.99297754829436,2,1.99263632687603,4,3.60392828135345,4.1574136750408,3,4,4,4,4,3,18,2.24349791090935
3,2,3,2.55273430476108,4,4,3.51550417597297,4,4.26193842901031,4,4.33876504330904,3.5,19,3.22555540502071
4,2,1.99473937961589,4,3,4,4,5,2.92027324013449,4.32577355048077,3.73279480212928,2,20,3.2180912932381
2,2,2,4,4,4.68003744723539,5.15347783372756,4,3.73592474066545,3.43530211301142,4,2.5,21,3.91119422577322
3.69825850874583,2,2.50503429966013,4,2.24739848466077,4.00207332181895,4,4.57549617947042,2,2,2,3.5,22,3.51452092640102
4,2.00048994126254,2.56013525887445,4,3.99558783276141,4.01296117844515,3.50082491575701,3,2.86128796242315,3.54020938699396,4.52280778674401,2,23,4.32055076025426
3.73525681757786,2,2.75429815394938,3,4,4,3.33050486315984,4.93426257246894,4,5,2.98997616326159,2,24,3.19334061723202
2,2,2.4855727097545,3.80298551462615,4,3.9821914140579,4.79579536133415,2.92353534935495,4,4.14421173233231,2.37794745328227,3.33333333333333,25,4.66930696368217
