"O_AesSens","E_Assert","N_Depr","N_EmoVol","O_IntCur","A_Rspct","A_Cmpn","O_CrtvImag","E_EnerLev","A_Trust","N_Anxty","E_Scblty","count","satisfaction"
3.90604125662615,2.26922425454651,2,2,2.1372320256317,4,4.12976299530119,2,4,4,2,2.01355312813724,1,3.40369596984237
2,2.50923110963152,2,2,3.71662871547008,4.62348180088236,3.5,3,4,4.44034522739934,4,2,2,1.274867718108
3.69351576978965,3,2,2,2.95813338620796,2.70608132635624,4,3,1.03866438929294,3.08609404099728,4,1.5864720772573,3,1.0111293271184
4,2,2,3.72780634548553,4,4.69495494182647,4,2.96395372125247,4,3,4,2.26277370045369,4,1.9277399322018
3,3,2,2.66300532373924,3,3.96047702555656,4,4.25464997915758,3.52808637197001,3.23809766377563,3.33333333333333,4,5,1.40079514216632
2.87847511991448,3.26571875615509,4,3.96219757471023,2.5,2.00160851728626,2,2.56646571654879,2,2,4,2,6,1.39652884937823
2,2.58233913881353,3,4,1.30012299789791,4,1.75701730856525,2,3.58170435625662,3.89610971515731,4,2.00561395444094,7,1.13030429556966
3,1.97592985950197,2,2,2.62129026341479,3,3.15611816357154,3.49726940420624,4,4,4,3,8,2.86231682263315
4,1.75218187483982,4,2.98800814461857,3.02772059438479,4,3.47485131061414,4,4,4,3.33333333333333,4,9,2.77117098681629
3.65007999451841,2.5,4,3.16040872051462,3.22289496371617,3.81028268554403,3.68228480882124,2,2.64055805338584,4,4,0.922789642498814,10,2.45368804037571
2.63553859308534,2,4,1.99054476681878,4,5.0156944428669,4,4,2.51426124059906,4,4,4,11,2.19856334943324
4,3.72600818882287,3.5,4,3.97290016365764,4.00709877789108,3.672327814612,1.56754850726956,3,2.99745169601246,4,4,12,4.83224462438375
3.18435091789339,3.13422359611803,3,4,3.5,4,2.64851658233046,1.57084150049397,2,4,4,3.11819890156694,13,1.56797244399786
4.0394813710493,2,2.5,2.18011672218957,2.50147266254417,4.1820550409167,4,2.98716516038902,2,4,2.5,2.55872962364165,14,2.77098532672971
3,2,1.66666666666667,1.93864341377143,4,5,3.13388184778824,1.91921436062362,4,4,2,2.89905210341697,15,3.94457850139588
4.18046203290648,4,2,1.59012418678197,3,4.29820888762386,3.5,3,4,2.86769114338705,2,5.99076109043911,16,1.02750775776803
2.16401382620058,3,2.5,2,3.98754172024032,4,4,3,3.08072793669024,2.9213088328181,2,4,17,3.74730366375297
3,3,2,2,3.98745432352621,3.60702019664938,4,3,4,4,2,2.17572373935121,18,3.1213971124962
2,4.23331197222506,2,2,3.05402842140725,3.28804152757078,4,4,4,4,2,4.00452556661975,19,3.99564251676202
3.6100698382641,3,2,2,3,3.13518330357901,5.05986358079403,3.23006168225502,4.71886961386168,3.5,2,4,20,1.54948906134814
1.89116816560059,3,2,1.65201869959621,2,3.5,2.11707267194604,3,3,1.93167266644611,2,2.93933574494792,21,3.8360437322408
3.17783288532968,2.5,2,2,2.55184015539739,4.61262654351547,4,2.5,4.14190396598058,4.09870735890083,2,3.65664731039998,22,2.84179523587227
3,3,4,4,4,4,5,3.80179413903541,2,2.99497483922564,4,3.18511515887173,23,2.79846271779388
3,2.4366186041425,2,1.21104435327681,2.41266564688774,4,4,2,2,3.36002042326559,3,2.00488028715386,24,4.02640745881945
3,3,2,1.42258554127693,2.00008562579375,4.44570215681318,4,4.43075376140819,2.78846621692947,3.71564033167382,2,3.16583404628285,25,3.18168750964105
3,2.39441865730845,2,2.69563194722132,3.02965988055372,4,3.77993121564437,4,4,4,3,2.00279974570023,26,1.55941131431609
2.27706593603333,3,2,2,2,3,3,3,2.91512076673084,2.88246127273216,2,2,27,1.0406115623191
3.28531509198309,2.51762270331488,2,2,4.04505768367098,4.10718055017452,3.5,2.5,2.5,4.32557415898261,3,3.57425102730035,28,3.06372285634279
4,4.48042502471181,2,2.32178135306179,3,4,4,4.6733442644232,4,3.42412901556144,2,4.17869308490739,29,2.73156902845949
3,2.32555618158638,2,2,3.04240754615306,3.5303560520631,4,3,3,3.18493302152273,2,3,30,2.48773572966456
4,4,2,2.01020931838283,2.70756118339235,5.17895944709828,3,4,3.10947458293999,4,4,4,31,2.52532565034926
