"O_AesSens","E_Assert","O_IntCur","C_Org","A_Rspct","C_Rspnbl","A_Cmpn","O_CrtvImag","E_EnerLev","C_Prdctv","A_Trust","E_Scblty","count","satisfaction"
5,2,4.15176229362899,4,5,5,4,4,3.67961674923804,4.06064246905329,5.14978469542183,2,1,4.97267151530832
4,3,4.1599949849664,2,4,4,3.81515987408018,4,3.04764090720598,2.16902896847811,4.00118513396172,3.50440491583241,2,3.57360189314932
4,2.5,4,4.12617758506032,3,3,4.43659100243065,3.72263186374272,2.95237597407069,2,4,2.74095216277528,3,3.30402083043009
3.25144235741742,3,2,2.88872926040695,4,4,3.64745054112812,5,3.47933479036221,2,3.99858862590179,3,4,2.21936075948179
5,3,5,5,5,5,4.49066209446682,3.67144452261662,2.78613422899201,3.7475503259404,1,5,5,1.18949930462986
2.37377614207334,2.85846785747105,4,1.39792188249859,2.63591560865941,2.5,1,2.32603251154006,1,4.90399608064957,1,4,6,3.49990827031434
3.51286434000327,3,4,3.07390021598907,3.76797029958401,4.5,4,4,4,4.36461767371867,4,3.58962229116018,7,4.95917628984898
3,2.6930230823248,2.81283725009871,3.89807160011369,5,4,3,3,4,3.96426655276295,4.51626472393871,1.57092092034235,8,1.6712681632489
1.87089503836121,1,3.03237430428612,1.86654862804407,4,3,1,3.5,2.36641418681157,2,4.46347691637075,1,9,4.80206547118723
1.74913421369718,5,3.57588522553619,5,5,1,5,5,2.67617687515599,3.50402862073065,2.90473188780147,1,10,1.24453928042203
2.29295724692243,3.7521659006258,2.34728512056285,2.39711940845074,4,3.21259949796377,4,4,4,2,4.18565419075125,4,11,1.21856876835227
3,2,3.50916324365256,2.36830820284522,5,2.36766857055203,2,2.39067151980849,2,3.5,2.12787023832854,1.11472976733849,12,4.06703503709286
4,3.43313111854355,3.55916501359927,4,3.86339604891996,3.01302335006201,4.5,1,2.76540189118017,4,3.82131567544559,3.5,13,4.53408544231206
3.38087798336013,2.80318348998179,3.5,4,3.87269423576603,3.65705971008751,4,3.64030037060168,3.71560227882782,2,4.0008554222203,3.5,14,1.19918665010482
1,2,5.3185137538987,3,4.5,5.31308298481635,5.27831058090853,3,2.49651860685974,2,3.73935513664396,3,15,2.99605048447847
