"O_AesSens","E_Assert","O_IntCur","C_Org","A_Rspct","C_Rspnbl","A_Cmpn","O_CrtvImag","E_EnerLev","C_Prdctv","A_Trust","E_Scblty","count","satisfaction"
2.69591650811344,1.70132053028497,3,4.45673032312906,1,1.56643576293548,3.04356683007713,2,3.14763409787308,1.5,2,3,1,4.07754072733223
5,3.94688379666282,5,5,5,5.22677240956172,4,4.05994245823672,4.5,4,4.33542225165401,3.43463764548543,2,4.3934798585251
2.31588751212247,4.34824085965477,5,5,4.84656032977291,2,5,5,5,3.96786658618845,5,5,3,3.93051061127335
4,4,3.4134271936966,4,5,2,2.7478752593548,2,4,4.0155097211848,4,1.68016227364147,4,4.15390180237591
5,1,5,4.69450893601357,4,5,3.97941026777385,4.64152217688517,5.56846167888181,5,5,5,5,4.53012037649751
5,4,3.44969782716041,5,5,4.53418790741415,3.80550041518603,5,4.22527768889661,3.45479314871775,5,5,6,3.23729526344687
2.86530532655538,3.98006795925681,5,4.19372492524229,4.47976603911658,5,5,5,5,3.55270334301112,3.13106554428706,5,7,3.90420305170119
3.32520140485138,1,5,5,3.94160752916198,4.14453292558107,5,5,5,5,5,2.87748878276028,8,3.78184245806187
5,2.97434358171237,1.82019669195992,4.40651785948765,5,4.5,4.6840868766092,2.54089972180846,5,3.04680999961859,5,3.52095258472774,9,4.24671933799982
3.53453104861733,4.76248575471353,4.75261626169648,5,4.21866170410604,5,5,5,5,3.77419828845241,5,5,10,1.7165467524901
5,3.21236840877358,1,5,5,3.9488250313956,4.71761909938632,3.17064588071943,5,4,3.65705001109736,5,11,4.40597590710968
5.44266258123131,3,5,3.98118419319284,5,4.41423261405358,5,3,4.03250382385504,4,4.06113125591913,4.97705417975182,12,4.34937647171319
5,3,1,5,4,4.68233630103802,5,3.8286962225692,4.40913822894782,4.20312894658883,3.75905233660998,5,13,3.816600413993
1,2,1.11564116976739,4.75209774963137,3.25244130680801,3,4,1,4,3.33969149242087,1,0.692845713489215,14,2.63566874340177
2.58733159760793,5,5,5,5,4.96715448910853,4.96529513408909,5,5,5,4,5.75920218257486,15,2.46859725099057
2.73382736087363,5,5,4.5,4.5,5.06045443363065,4.36877391836024,4.63391824857078,5,5.40385665690156,3.42491129034652,4.26806421793723,16,2.41073739342391
4,3,2.11710026040894,4,3.97521750557686,3.93892895971708,3,4,4,4,3.83804977148685,4.02858653632059,17,4.73951470199972
2.5357645495861,2.64685914333843,5,2,4,5,4,5,4,1.65648225628741,3.97655673140089,4,18,2.2655447088182
4.45261098298038,3.5,3,3,3,3.44526134733702,3,3,3.18014346169335,3,3.69732432884357,3.65948097546105,19,2.90443308278918
3,1.61143483110393,1,1,5,5,2.43100728990445,2.29444887792366,1,2.57316508265496,5,1,20,4.32854386884719
2,2,4,4,2,3.79403928901624,4,2.24242695315916,3,4,2.35360680561721,3.01325914656959,21,3.5825447877869
3.5,3,3.54291317360407,2,2.97619220615768,1.88861870195705,2.5,2.61879704287732,2.03328451152133,2,4.01351119689773,3,22,4.33459038939327
2,5,4,4,3.5,4.24840731922529,3.26031362995665,3.78844627888553,4.02892881896465,3,2.78209753607127,4,23,2.88970256503671
3.35687709167055,3,3.00682824191959,4.35994817526683,3,3,3.39160510951515,3,3.29699740698697,3.44185270638277,2.43291584845565,3,24,2.96593357529491
3.40068436825407,5,1,4,5,4.977227402131,4,1,5,4,3.5222597240576,2.32524138120168,25,3.45232211146504
3.92045386855822,2.00427812139599,3.5,5,5.04449175564644,4.00549745994597,5,1.86780154566839,3,1.93538472452096,5,3.43617629624908,26,1.26904597319663
1,5,2.51061821598448,5,5,5,5,5,4.6516922708407,2.44300357948228,4.61813539797142,1,27,4.40832690894604
4.18753880529849,4,1,3,4.62028199956319,3.17072772950254,4,5,4.35018386119154,2.54810978152656,5,5,28,1.03723193705082
4,3.0170044950011,4.42542816919322,3.10190459332767,3,4,4,4,2.83805940765007,4.16353367278147,3.77660408509955,3.5,29,3.34218484535813
3,3,4,3.95347898816551,3,4,4,3.95400034610824,4.26543618876845,4,3.70187602129545,4,30,1.27371079102159
2.96524010139052,3,4,5.32856985722965,4.43795696236859,2,5,3.52905623583861,5,4,4,3.92355906309298,31,3.85406722873449
3.68087661581443,4,3.68581650165472,4.15915034602872,4,4,4,4,4,4,2.41496662066944,2.6507341451827,32,2.99775859434158
4.17599484993549,3,2,4,4.5,4.90985466545669,5.02874765495348,5,5,5,5.1048847071246,5.0450263273117,33,3.89207679685205
3.06452719203042,4,4,4,3.72471744594991,4,5,4,3.15588985078163,3.18272322325729,4,4,34,2.36709729488939
4.40342518329738,3.14771618578774,4.5,4.26357089757695,3.97626590463581,5,4.16212805426153,3.24889681795424,4,4.28500911357311,4.5,4,35,3.9724732292816
4,3,3.61653773600811,4,5,5,4.51217246626607,4,5,3.75755477567787,3,4.64931207431729,36,4.62066908180714
4.64314407096406,1.4988330865884,4,4,4,4,3.09875659571773,4,4.5,2.37485850286818,4,2.5034453017296,37,1.59652784187347
2,5,4.87094292442242,5,4.5,4,3.68315462203675,4,2.339590769094,5.36654672089652,2.41949988311343,4,38,2.77582147438079
1.94345499712946,4,4.5,2.49828524097159,4,3.5,3.62362657595532,3.39014208163514,5,2.98109661410174,4,3.75396572900556,39,1.0926085729152
4,3.01714310094351,4.42574937417151,3.4490234348501,4.22550251367564,4,4,2,4.41084564413383,5,5,4.5,40,1.93278542160988
