"E_Assert","N_Depr","N_EmoVol","C_Org","A_Rspct","C_Rspnbl","A_Cmpn","E_EnerLev","C_Prdctv","A_Trust","N_Anxty","E_Scblty","count","satisfaction"
2,3.5,2,3,4.46801492657757,2.62978209118169,5,3.59246903745755,2.66801655592134,4,3,3,1,4.33468034677207
2.67648145114655,3,3,3.40403860459646,3.64662194066444,4,3,3.05069112514881,2,3,4,3,2,2.13609998393804
3,4,5,1,4,1.91295958718501,3,1.92227164902108,1,2.85854791222486,5,3,3,3.32292968407273
2.33469960952801,3,4,3,4.77403729111349,3.03228485543796,3,3.48751170294504,4.29428864420781,3,4,3,4,4.3360792202875
2.83379382015749,3,3.68304999056194,3.58366979754863,3.99946790517997,4,4.37571808500645,4,2,4,4,3,5,1.8593594674021
3,2,1.72768810138723,3.55974704075525,4,3.74091212749129,4,2.42524000642147,3,2.51916812260359,3.66666666666667,3,6,2.69581046234816
3.77315730296702,2,4,1.84970317495759,4,4,1,1.06368857298252,3,1.98063312100763,2.5,3.5,7,3.25457829795778
3.18142817343793,3,3,3,4,3.69316436746357,3.11847423913285,2.80842595689502,4,2,4,2,8,4.16860073711723
2,3,2.28194320725901,4.58993409464377,4,4,2.51002237773554,2.83809010021633,3.66795123917965,3,2.66666666666667,3.02729128170618,9,1.44906944409013
3,3,2,3.5,3.43239215210588,4.6018628540286,3.5,2.99992991163846,5.13032907322913,3.53231395648123,3.5,3.92207462633551,10,4.31687027681619
4,3,2.90046874607657,2.87571508358479,3.5,2,2.26227096948623,3.5115743923865,4,3.79933945660747,2.5,4,11,2.4328035665676
3,3,2,3,4,4,3.7846475542614,3,3.86346757501429,4.45840191023665,3.5,3.13098027782964,12,3.24425464030355
3.26543448373744,2.5,2,3.5,3.99350898013577,4.16921353024631,3.39158556820563,2.99925093355151,4.23238495842749,4.27061430741288,3,3,13,2.86875031050295
3,3,3,4,4,4,2.7316376447558,1.61882945028349,1.66445222883611,2.63145542004381,3.5,2,14,3.10563030838966
3,2,2.93189515009034,2,4,4,3.68059208408015,3,3.11080392706601,2.51787765211826,3.5,3.384313753839,15,3.33764035161585
2,2,3,3,3,3.07620161885497,3.4438493025979,4,4,4,4,3.17191483089599,16,4.58001973852515
