"O_AesSens","E_Assert","N_Depr","N_EmoVol","O_IntCur","A_Rspct","A_Cmpn","O_CrtvImag","E_EnerLev","A_Trust","N_Anxty","E_Scblty","count","satisfaction"
4,2.49792892997173,2,1.97646408959404,3.54778841362019,2.92977487223527,2,3.3037464356927,2,3,2,2,1,1.52988763712347
4,4,1,1.47461106046909,2.78984194431019,2.96710823969583,4.05096577284881,2.32924423761352,4,3.5,3.5,3.67314405804018,2,1.29831828828901
4,2,2,1.97986676599052,2.85186481034653,2,1,4,2.20669838490467,3.38997613711571,4,2,3,4.4012590944767
3,2.40273602082849,2,1.536781739717,3,4.39423880516215,4,4.65054132294354,4,3,2,2,4,4.22296327631921
3.31968049225928,2.88084234669713,2,2,2.8217361539044,3,3,2,2.5,3.2517103473536,2,3.03396918578489,5,2.50947623606771
4.37595896786992,4,2.5,2,3.16959020642945,4.42516309010652,3,2.5,2,4,2,1.98583874938645,6,3.48874937742949
3,3.81707712445136,2,2.01856569175637,4,4,4,3.11806026362052,3.2137624546333,4.1343554463345,2,4,7,3.85980120394379
3,1.31289731151486,2.66666666666667,2.61407602349118,3,4,3.42197643219083,2.19187255363137,3.0000734354519,3,2,3,8,4.71311849262565
3,2.17635023520831,2,2.20998990050884,3.75712233714046,5.62035228986649,3.5,3,2,3.99167834858254,2,2,9,2.35319687798619
3,4,2,3.62266772234808,4,4,4,4.90481192294283,2.39931607656329,3.34117386734432,3.5,4,10,2.34850532468408
3,3.60053156861392,2,2.02007457453514,2.19053901021409,3.50934133995396,3,2.4800784725493,3,3,2,2,11,4.79277757834643
3,2.5,2.66666666666667,2.28104255100948,1.12294501115982,3,3.61696551762631,2,3.69652820254253,3,2,4.44725616244965,12,4.51517329923809
1.91116914016176,2.92778404481952,2,2,3,4.18341330620313,3,4,2,4,2,2,13,3.05585961416364
5.30430886085992,2.44476285323742,2,1.98277132477214,4,4,4,3,3,3.26197926388891,2.5,2,14,2.12009268812835
4.16127894813778,1.1679489698845,2.5,2,2,4,4,2,2,3.82787853428887,4,3,15,1.10688367858529
3,4,4,4,3,4,2.35975803150451,1.64917141805773,2.51527361395554,2.15863984658574,4.5,4,16,1.40657224040478
4,3.11383061501453,2.5,3.80424921574676,3.03428257832652,4.00659822985907,3.5,2,4.25932412101144,2.96503526813862,3.5,3,17,3.25296934973449
1.80399404022211,3.55082555089866,2.5,1.96865558335835,3,4.25334662638302,3.5,4,2,3.75510816447109,4,4,18,1.03687986172736
4,2,3.66666666666667,4.19588651325236,4,4,4,1.94305155890501,3.21970609668726,3.53948449338748,4,4,19,3.4745708424598
4,2,2,2,2,4.06039204545774,3.5,2.88506460546953,2,4.63857525210048,2,3.65927138536039,20,4.72246757149696
4,3,2.5,2,3.36639655662281,4,3,3,2,2.02210984784823,4,1.94494047409581,21,2.87316515482962
2.12831451384459,3.57999284975538,2,2.09879948863888,3,4,2.5274774506816,4,4,3.51127555673453,2.66666666666667,3,22,4.24271737318486
4.77133847184155,3,2,2,4,4.70035812731914,4,4,2.37758960719598,3,4,3,23,3.46811820287257
3,3,2,2.5,2.73472140443622,4,2.70001004485227,3,3,3,2,2.95736233490065,24,3.25964675843716
3,4,2,3.5,2.76365468765017,3.7175860331789,3,3,2.4789840695097,2,4,4,25,1.61127308942378
3.52548568690718,3,2.5,1.96025497734061,2,2.72280367490649,3,2.86778411190192,2.68563106868054,4,2,2,26,2.21598662156612
3,4,3,2.31768823666523,3.80671389345865,4,3.30277050911287,4,2,4,3.5,1.98083099209904,27,1.39175104349852
