"O_AesSens","E_Assert","N_Depr","N_EmoVol","O_IntCur","A_Rspct","A_Cmpn","O_CrtvImag","E_EnerLev","A_Trust","N_Anxty","E_Scblty","count","satisfaction"
3.97579223948401,3.82304432730241,2,3.88970766663021,5,3,2.6256599252526,2,4,4,4,5,1,4.95692521054298
4.00085991020381,2,1,3,2.90422824777522,2.15588781131569,3.54488711840762,1.21767839622001,3,3,2.5,1.89164461068698,2,4.78938766662031
4,3,3.5,4,4,4.69269490438063,4,2.87258734143146,3,2,3,3.28581174963416,3,1.0599766774103
3,3,3,4,3.0628007614796,4,3.27034334100246,4,3.45959580188573,4,3,2.62688939010544,4,3.03475192934275
3.35031661465742,3.5023481384351,2,2,2.00907287427404,4,4,3.5,4,3.9791199291057,2,4,5,1.05428522732109
3.88654848761142,3,2.33333333333333,2.37585546230443,3.5,4,4.24980369309898,2.09035670780477,4,4,2,2.15088544511295,6,2.49549869541079
3.00652455739607,3,2.5,2,5.06078526804828,4,4,3,4.26624530998738,4.2480979255108,2,2.32422325100082,7,3.44743408448994
2.99671131804673,3,2.5,2,3.56350845592007,4,4,3,4,4.15211300545951,2,3.90992113410848,8,2.3892538100481
3.99971396532437,2.5,2,3,4,4,3.95021551066386,4.60297103106358,3.65489499169023,3,2,3.64456244016561,9,4.05725618451834
4.20125741149505,3.44898836860225,2,2,3,3.86866118374946,4,3,4,4,2,4,10,4.20184974279255
3.5,3,2.5,3,3.1901681965155,4.30084954701153,3,3.6576153552083,3,4,3,3.96171592776981,11,3.12859507184476
4,2.15290050654476,2.5,2.26164131258033,3,4,4,2.80305410952811,4,5.08999479902435,2.5,4,12,4.44683772884309
4,2.0627118074519,3,2,4,3.5,3.82234442033115,3.15159082497012,3.5,4.3827955920602,2.5,4.04094178943837,13,3.3204301437363
4.00396772491402,3.6826270887182,2,3.25641442760589,4,3,3.92681076283031,3.43274683933209,3,3,2.33333333333333,4,14,2.94250998925418
3.33178971345185,3,2,2,4,4.98284681420122,4,4,4,2.30464664544191,2,2.23962761445519,15,4.68386206962168
2.21755438144933,2.52433195411162,2.5,4,4,2,3.0244676868675,4,3.65739739121159,3.34228816182294,4,3.5,16,3.18913510628045
4,3.13005277119577,2,2,2.95446943400475,5.24494503776238,4,3,3,4,3,4,17,1.91181159857661
4.00445278947873,2.69778272013743,2,2,3.74219208362341,4,4,4,4,3.43432778562026,2.5,4,18,2.90743786655366
3.88068088883886,1,2,3,3.5,4,4.17086942622827,3.2495788440077,4,4,2,4.38224784791251,19,1.68105667829514
4,3.13935021571931,2,2,4,3.32584170855728,3.12468262086401,3.64462692564546,4,4,2,4,20,1.95881486404687
3.99242842177869,3,3,3,3,4.18891785472258,2,2,1.23719430502013,2,4.5,3.22766373434215,21,1.73043539002538
3,3,2,3,1.9782514990473,3.90678755758024,2,2.38697937991183,4.14977466043766,3,3,4,22,4.47164101991802
4.00076720445816,3.35307296064681,2.5,2,3.67224342608384,4,4,3.20564591221692,4,4.34692758765843,2,2,23,3.02101218979806
4.9913348074749,2,2.5,2.64958510103576,4,4,2.46461547873691,4,2.66318800001312,3,2,2,24,3.62813605647534
4,3.58802648821505,3,3,4.83847098647663,3.83251168983719,4,3,3,3,3,2,25,2.37917572166771
5,3,2,0.580613464531299,1.34836090871024,3.80821925473776,4,3,3,3,2.33333333333333,2.44649342259268,26,3.83216148708016
4.02731070900239,4,4,4,3,4,4.31346650854196,3,4,2.51946358683982,4,4.13527837195385,27,3.67748397029936
3.9998851091264,3,2.5,3.02096837053328,3.09300508384115,4.09772928416521,4,4.0405162602081,2,4,3,3.30692252527784,28,4.3854723693803
3.44261124848419,2.1560723038055,2,2,3.06665891021137,5.04481861208893,5.28990105545473,3,3.53934059365659,4,4,2.5,29,3.82386908214539
4,2,2,3,2.89076502413035,2.94916192899327,4,3,2,4,2.5,1.9367921322553,30,2.11685734242201
3,2.94649996740629,3.33333333333333,1.89358247385206,3,3,3.09264471392876,1.23855614803886,3,3.48457533708417,3,2,31,2.35951691679657
2.38591931713716,2.29463088768539,2,1.72831512099417,2,3,4,3,4,1.46659299844072,3,4,32,1.41998604312539
4,3,2,3,2.304025599302,4,3,3,2,3.65632319910809,2,2.68979223385853,33,4.01750857755542
3.28698317869246,2.93142479766428,2.5,2.30228246723361,3.17847930034936,3.0758461222399,5.19625466642796,3.5,3,3.5,2,3,34,2.82252110913396
3.99545866885428,3,2,1.41781939191045,3.96090169727754,3,2.58160939580942,3,2.24692127900781,4,2,2,35,3.85929148551077
4.86580335918775,3.72695418906251,2,4,4,4.97803942557363,3.80946455263587,3,3,3.5,4,5.46302767875613,36,4.00011518504471
4,3.16588266910831,4,3.5,2.90895290224243,4,4,3.40619839672387,2,2.34725137261292,4,2,37,2.64890116173774
6.11646304196272,3,2,2,3,3.20860705259488,4,3,3,4,3.5,3.94682069764878,38,2.95042468514293
3.51574903311381,0.906442261622416,2,2,4,4,4.08927626137483,4,3,3,3,3.32284044577983,39,3.31060133315623
3.11165508415671,3,2,3,3.21729989221695,4.23224744687955,4,3.5,4,4,2.5,2.73667766198797,40,2.69228680059314
2.32862769718371,4,2,2,3,4,3.90883900966462,3,1.352084494491,4,2.5,2,41,3.16039047949016
4,4.61857740014092,2,2,1.67017229689698,3.5,2.6823982149457,3,3,2.69803194477187,2.5,4,42,1.41345059778541
4,3.41372879516607,2,2,3.85767308112518,4,4,4,3,4.30456372279363,2,4,43,3.05061646271497
3.99558888634968,1.93642111434064,2,2,3,4,4,4.05081319103653,4.02923824029957,4.64322930057595,3,2,44,2.90622929111123
4,3.82633945357147,2,3,3.49547630461462,4.39260577601434,4,3,2,4,3,3.19148901627362,45,4.73043299932033
