"E_Assert","N_Depr","N_EmoVol","C_Org","A_Rspct","C_Rspnbl","A_Cmpn","E_EnerLev","C_Prdctv","A_Trust","N_Anxty","E_Scblty","count","satisfaction"
2,4,3,3.30563606383581,4,4,2,2,3,3.63949342085705,4,3.0287157818757,1,2.33861126936972
1.5,4.5,4.5833867266515,4.4013813776969,4,4.5,3.20821946353021,3.36884082899661,2.89539574487267,4,3.5,2.50872455977544,2,4.78483131155372
2.55626108098694,2.5,3.7432280476146,3.76140135582574,4,5,3.83450478087588,2,4,4,2,3,3,3.12411984242499
1.06002571613813,3,2.5,4,4,5,3,2.55797794417658,4.43608944192804,3.15808831096201,4,2.5,4,3.72509259451181
4,3,2,4,3.66495268244661,3.60870930494534,3,1.21126194355356,4,3,2,1,5,4.95889726467431
3.07400905111103,2,2,4,4,4.04371602479053,1.93479020996176,3,4,4,3.5,2,6,4.80247509200126
1,3,2.27750141615653,4,3.15390987179895,3.63166196386528,3,4,3,4,3,2.68240161169293,7,3.54741867538542
4.00564829442494,2,2,3.70625986762922,4,4,2.89453756957075,3,2.88258916643334,4,3,2,8,2.17471445351839
2,2.5,3.14642596814962,2,3.59583126409174,3,3,2.74082537987768,3.5174346298777,4.29575062509889,4,2,9,4.32460579182953
2,2,2.61895881739473,3.49321773684888,3.29882528685285,4,4,2.49867395002181,4,4,2,3,10,3.83272541780025
3,3,2,4.37358168310448,4,4,3.38378196732521,3,2.79527352763449,3,3,2.99220725026715,11,4.56367979105562
3,2.5,2,4,5,3.93343170325874,3.39965394564474,4,2,4,3,4.07571332321389,12,4.18232194893062
3,2,2,4,4,4,4.38736043231297,2.51096668713484,2.97449789112712,3,2,3,13,2.56832615379244
2.98850389680368,3,3,4,3.16552319053704,2.81932989915131,3,4,4,2,3.5,3,14,3.967734079808
2.80437173997864,2,2,4.52540350229057,4.35464733523323,3.3982701353285,4,2,4.5,3,2,4,15,2.79673005733639
1.8661568347993,2.5,2.77099457474666,4,4.33252770155303,4,4,3.00830286239756,2.24973077708187,4,3.5,3,16,1.52064561191946
2,2,2,4,4.23382402255368,4,5,3.05501727543609,4.03193885397477,4,2,3.21644538943202,17,4.98138995468616
2,4,4,2.38692665417007,4,3.5,2,2.85977832517428,0.551367635178003,2.86147235018382,4,1.01236541697935,18,1.24110038951039
3,3,2.08583223607771,5,3,4,4,2,3.88168088744876,2.98325105598229,3,2.79396218781691,19,1.14286006335169
3.5,4,2,3.5,3.82991356632242,3.67578128820931,2.5,2.0343051070032,2.0518427227584,2.70964038650353,3.5,4.1919211347674,20,3.83814335148782
2,2,3,3.72276843648602,4,4,4,3.22464448568013,1.81326907586229,4.29265560254568,3,2,21,2.27065171208233
2,3,2,3,5.85432983269467,4,3,3,3.68950316258361,2.73942905163464,2,2.15040302527994,22,3.71996834967285
3.77245840127754,3,1.15014595961031,5,4.23521791351433,5.92629611589562,4.06731970642942,2,4,3,2.66666666666667,2,23,2.88882764428854
3.18472949425769,2,1.24181691024261,4,4.5,5,4.30676610789492,4,3.83843006852641,3.35828303700152,2.5,1,24,1.31127973645926
3.02356963264138,4,2,3.97504020871002,4,4,3.04991953355838,3.14761173449106,4,2.61603542980839,2,3,25,3.29001032933593
2.06404320347499,3.5,2.57546128120281,4,4,3.51014425888337,2.42467027629848,4,2,4,2.5,2,26,3.91964937001467
2,2,2.61371706712508,2.54506940251096,5,5,3.29935847884933,4,4,4,2,2.61441671948788,27,2.94751321803778
2,3.5,2,3.89009432993508,5,4,4,1.91046974380895,4,3.46184767036706,3,4,28,4.26358080096543
3.1190038168748,3.5,3,5.8422378723707,5,4,4.53847065386177,4,4,3,3,3,29,4.28266293928027
3,3,2,1.44068586864102,4,4.47126014974267,4.37748670223402,2,2.5,2.97884048534329,2.5,3.2585741940785,30,2.71099074278027
2,3.5,4,4,3.90866422517466,2,3,3,0.799474502798288,1.95305840076441,3,1.24763727585086,31,4.87289934419096
3.32026036200586,4,4,4,3.27365793672003,0.128912216717282,1.49332881615159,2,4,2.5,3,0.799570955510872,32,4.68452587444335
3,2,2,4,4,3.45216468604636,4,3,4,3.88283372625067,2,1.66224531694041,33,2.22379344888031
2,2,2,4,4.82997491553184,4,4.98524501451953,2.70476104806845,2.40892576675898,3.5,2,1.8546414479275,34,1.44970191828907
3,3.33333333333333,2.73383200816863,5,3.8467434740584,4,4,5,3.77895833326686,4,2,3.39630965459932,35,2.65408585965633
1.82450485837937,2,0.787961040839123,5,3.5,5,2.88326747592661,3,4.13778748678906,1.30811390765891,2,2,36,3.11414412502199
2.5,4,4,3,2.99110831639593,2.61417565192665,2,3.08463623186201,3,3,3,3.7311281066028,37,2.69275513477623
2.67351529597153,3,2,3.07145985424424,4,4,3.38064463580681,2,4,3,2.5,3,38,1.07867282349616
4,2,2,5,4,4,3.16726871145307,1.12734448535807,4.04168432282297,4,2.5,2,39,3.67110641021281
2.80058824269935,3,2,2.58279432489369,4,4,3,2,4,2.77665014253548,3,2,40,3.5700475173071
2.69781392169866,3,2,3.7616903610841,4,4,3.86917153347303,2,4,3,3,2,41,2.85170438792557
