"O_AesSens","E_Assert","O_IntCur","C_Org","A_Rspct","C_Rspnbl","A_Cmpn","O_CrtvImag","E_EnerLev","C_Prdctv","A_Trust","E_Scblty","count","satisfaction"
3.24562080516146,2.5,1,4,4.12272433822678,3.41892612830075,2.99074205475047,4,4.10684185523907,5,5,1.2798428262159,1,1.37928828410804
4,2.62043034963138,3,4.64720906839315,5,2.01238306599208,3.32999986491758,1.90485078944991,1,1.5,3.89821272305944,1,2,2.20092892739922
3.43615346690891,3.0947840480048,2,3,2.74452637622906,4,4.42727517600672,4,3.04808882456295,3.59029097126942,3,2,3,1.23270530439913
3,3.5,4,3,3.45550653337085,4.3320943848028,3.49758248451564,4.16161760533606,3.9988055087392,4,3.56897455963293,3.50667762270785,4,1.87343834619969
2,4,2,4.4949626980252,4.38951566490568,4,3,3.18402760245109,4,5,3,2.1455103353219,5,3.13590991217643
3,2.5,1.64788760238029,3,5,2,2,3.44237981639485,2.2444491846831,2.85003946826847,3.89056469268169,3.13366712327621,6,1.02222158480436
2,3,1.60182162933022,3,3,4,5,2.56136062527777,2.9602432253711,3.28762044017871,3.03968639982622,5,7,3.37899151165038
3,3,2.91537038175043,3,4,3,2.54910519985886,3,4.43572434298604,2.52433465373922,3,3,8,2.4396955287084
2.92610568045186,2.36927344046995,3,4,4.05198344171567,4,4.4658142092831,3,3,3.26771819617288,3,2.24958161309497,9,1.79196469765157
2.71476141612367,4,4,4,5,3,4,3,4,2.74482269425526,4.45490876926322,5.25481954617393,10,2.0078545678407
3.00136649473865,3,3,3,3,3,2.13879311790705,3,3.21740278444358,4.05674756216318,3,3,11,4.12842392548919
3,3,2.68116984802377,2,3.21735707783022,1.84095358178549,3,4,3.19638141336372,1,4,3,12,4.24034268688411
2.43874254941244,1.46951745156387,3,2,4.49147491771347,3,3,1.67471240042886,3,1.84300497141665,3,2,13,4.06459833774716
2.04914254893206,3,3.5,4.51851573140781,3,3,3,2.91535646874636,3.01879843927481,5,3.07504274220555,3.15412573184005,14,2.81244945712388
3,3.1778094574026,1.86177963349055,3,3,2.38403266522498,2,2,1.47770323118644,1.27104335380028,2.57768751245504,1.5,15,4.90867152903229
2,3.65722902737023,3.06022935516047,3.23624595873092,3,2.5,2.46926388612443,3,1,3.44293830242038,2,2,16,4.05996926967055
3,3,3.31658472635087,2.34429835613157,4,4,3,2.73560430759589,1.6677427984812,4,2.56961247573156,2,17,3.49530172348022
2.5,3,3.57449881877575,3.5,4,3.71396242174311,3.02176107491602,3.47395558485754,3,4.37312357195524,4.05807102622594,1.69472072215202,18,4.41535723023117
2,2,2,4,4,2.68246723919007,4,0.748901252105637,3,2,3.6519511846659,5.05332576227543,19,2.54230402689427
2,2,4.34846296017218,3.63356132060545,4,3,2.78331153179763,3,2,4.16434359562399,4,1.05857663036316,20,4.85700822900981
2,3.18161595756361,2,3,4,4,4,2.95608395368122,2,4.5637245693829,3.52116083269572,2.3384094611133,21,2.7702050358057
3,3,3.96328352862309,4,4,4.05422277372217,3.06980299934734,3,3.81715205592073,4,3,2,22,2.1784846605733
3.29232622458297,4,3,4.51535601340721,4.78859291481041,4,4.69301097440669,3,3.48827038580778,4,2.5,4,23,2.86010564584285
2,3,2.67116819743988,3.76448816931263,3.46532878341117,4,3,3,3,2,4,2.46520677420381,24,4.50598029326648
2,2.5167992271466,3.45991741556295,3,4,3,2.33432917678779,2,2.06093334889065,2.19878247675731,2.06486368381908,2,25,4.65703562088311
3.36644873368386,3,3,4,4,4,5.40385686414966,3,3.5465750581849,5.28743359063121,3,4,26,3.05153758544475
0.922821249468035,2.5,1.77329105469588,2.78570518306926,4,3.15503896436641,2.93274686221138,3,3.57317195427477,4,3,3.8863688745161,27,4.38747888430953
1.41726699715376,3,3,2,4,2.79651386065983,4.18852075045515,3,3.0562002171373,2,4,2,28,3.46739758271724
3,1.9264160933362,3,4,3,4.49088922278387,4.30741096977611,2.74018903967007,2.68486516529316,4,3.56538872084613,2,29,3.28967860061675
3,3,2,4.33659133640232,3.68340134131721,4,3,3.15687616496165,3,3,3,2.65494750858254,30,1.19854066707194
4.63628518264849,2,1.59313579280029,4.05599226536454,3.89939770725336,3,3,3,2,2,2.95123480074595,2.10741106280729,31,2.48795858211815
3,2.89785136737605,3,4,3,2.61080138106613,4,2.27650576060027,2.5,4,2.6200344002514,3.13463469262251,32,3.65623372793198
3,2,2.48107130066222,2,4,4,2,2,0.556686176476719,2.19440574009252,1.59837996060022,2.6776557294888,33,4.24044852796942
3.33504299122996,2.68066577554374,3,2.8938360126357,4.42895882739517,4,4,3,3,5.1796125359724,4,3.18824754735969,34,1.94976334273815
3.54148668150751,3.54245020911431,3.64384457585094,3,3,3,2.88660886782472,3,3,2.14978683902034,3,3,35,1.28719572536647
3.19753808988579,2.19238113543406,3,4,3.5,4,4.0478647044436,2.77947382084502,1.37416565385712,4.50461961724896,4.15503496991238,2.5,36,2.21241002995521
0.5476135624713,3,3.02443902150663,3,3,3,2.91107924585658,3,2,3.67758359735673,4.10277151802831,3.16204288410204,37,2.09129130840302
3.87807634075778,3,3,1.71840943759567,4,3,2.88646414028349,3,3,2,4,2.16197206356763,38,3.84567547775805
3,3,3,2.91800486599588,3,3.80129166324029,3,1.69588902879882,1.88506162347072,2.5,2.80730927601209,4,39,4.43424812611192
3,3,4,2.96851534884848,3.51215088478746,2,3.86753567586469,3.28821233152431,2.53835793504794,4,2.5,3,40,3.65136534161866
3,3,2.69721254988734,4,4,3.20337983277523,3.0055785071529,3.20444467992266,3,2,2.94454816166337,2.98975490028587,41,4.93534388486296
2.37260302035917,3.00099843053214,2,4.0438166866183,4,5,2.77388661587343,2.2295225955586,2.06174716366031,4,2,3,42,4.39092261251062
3,4,3,4.01618520337505,2.37378534678143,2,2,4.02116373078733,4,4,3,2.00792321357123,43,3.18812380172312
3,3,3.0668657287812,3.4276789535412,3,3,3,3,4.62056629306806,4.07748899155943,2.62245938088026,2.49160554133185,44,4.18203312903643
3,3.92322434616404,3,2.96004237004429,3.69963190980422,3,3.5,2.24660895767679,1.38391666020366,2,3.44130343979434,3.5,45,1.07434648368508
