"O_AesSens","E_Assert","O_IntCur","C_Org","A_Rspct","C_Rspnbl","A_Cmpn","O_CrtvImag","E_EnerLev","C_Prdctv","A_Trust","E_Scblty","count","satisfaction"
1,3.55895091798998,4.1571008656585,3.77725008084376,4.23022366094012,4.5,3.18866873674195,3,2,4.44412776908456,4,4,1,3.0499546546489
4,4,3,4,5,2.09423686290762,4,3.51186229903082,4,3,3.80410402132282,4.41631487724351,2,1.58854177873582
3,4,3.19598280088241,3,5,1.6406258632285,2,4.37585205723345,2.88620384667811,4,2.95067095746061,2,3,3.9158558389172
2,2,3,2,5,4.02180622692406,4.08553856706623,2.24266917230567,3,4,5.07593286132183,3.15108652234327,4,2.54743816703558
3,3.06673420329993,2.55740935531612,4,3,3.10368179860766,2,3,3.63699034002385,2.95006161041949,2.92566060623595,2,5,1.230677369982
4,4,3,3.82963533750015,4,4.27813159670775,2.78104129766971,3.83830289789837,4.30323429207317,3.5,2,4,6,1.28883923497051
3.42265791739619,2,3,4,3.95968430956426,4.7092361031751,3,3,3.18449409416128,2.48017861880554,4,4,7,3.50352747365832
3,3.22242975551193,3.99916243373003,2.76166126022316,3,2.79595944409113,3.79961302871292,3,3,4,4,3,8,4.35167769994587
4.18414463978526,4,4,4.28487195429727,3.82676377502157,4,3.5,3.30000265026843,4,3,4.07407375409011,4.49752943346982,9,4.87265503033996
2.16408855899089,2,2,4,3.69236397047294,3.58801402322386,3.5,3,2.801182965957,3,3.40998227953891,2,10,1.82876795809716
2.51843305140525,1.53909993532857,3,2,4,3,2.3865706098171,2,2,4.09765829129735,4,4,11,1.71494245901704
2,2,2.59813683766746,2.29755891012196,2.23093948589855,4,3.38690677932779,4,2,2,2,3.37305898275693,12,3.23643778264523
5,3,3.73495499509002,4,4,2.54848332846594,3.89850836630175,4,4,2.27681161868621,3.06034249988522,3.21532228737514,13,2.19939174968749
4,2.17172588908043,3.15439122401018,4,3.85129838181092,4,4,3,4,2.91200685040186,1,4,14,4.4122242918238
3.27316700595747,3,4,3,3,2.81952619484977,4,4,2.18988345352137,3,3.13870591116215,4,15,4.54372454900295
3,3,3,4,4.5,4,4.90361942754205,3.4958463745656,2,2.20544014741696,3.3975467993912,3.425107527649,16,4.04045788757503
4,3.65730442248809,4,4,3.32017807489873,3,4,3.02261889571611,3,4.14339760213877,4,4.8558170302833,17,4.95507739391178
2,3,2,4.94837839604758,3.45589331860021,2,3,3.70479940792672,1.7377813865121,1,4,4,18,3.99590949248523
4.01211421859524,2,3,1.18888924126515,2.78822091783749,3.5,3,3,3.48928431627748,3.82774033116739,2.71480561421302,2,19,1.59332750737667
2,1.50709625174885,3.79251954888312,2.0317263894752,4,3,2.83370954273503,3,2,3,2,3,20,4.17612264864147
2,2.74612310605293,2.15029274598893,4,2.78434733597421,3,2,4,3.5,5.02712741408825,3,2.42229150676501,21,3.08338802773505
3,2,2.82811143835034,3,4,3,4,2,2,2.01356950701018,4.16967495753053,3.8312004959759,22,2.02798998728395
4,1.95801757424841,2.76872349180588,3,3.75047412268512,5.07255897841337,5.01317380421763,2,3,3,3.5,2.24261267883992,23,2.15742570254952
3.99089781718326,2.72226030293508,2,2.31234424555696,3.88621073952526,3,2,3.06847934631824,2,2,4,4,24,3.03091182652861
1.49389756286892,3.61977369468117,3.45037020308841,4,4,4,3,3.5,1,3.58202126520663,3.17874204569732,3,25,2.69580835662782
3,2.79571158607271,3,4,4,4,4.08727288927111,3.15949444573679,3,4.18618713817475,3,4,26,2.40835858788341
5.02823608201235,3,4,4,4,4,3,3,4,4.35844544204668,2.37932099960658,2.88830716055365,27,3.98286013957113
1,3.6887933758345,1.5282551877679,5,3.95951919172504,3,4,3,3.5,3.55996502909832,4,2.42177132683521,28,1.82337572146207
3.65429848898683,2,4,4,3,4,3,4,3,3.63434243769562,3.45099792232214,2.5184742536813,29,1.30891674011946
3.44255754976543,2.22545865709292,3.82167067060831,2.47172882527764,4,3,4,3,3,2,4.56608407044548,3.53081569196535,30,1.34593251440674
3.67491154584099,1.19675558972535,4,4,4.99975341389467,3,4,2,3,1.61305379098619,4,2.82641767754098,31,4.6364828646183
2.46171582680237,3.34410668782575,4,4,4,3.83308473436457,4,4,2,1,1.99821961340709,4,32,2.93697608821094
3,2.5,3.81106258294009,4,4,3.31305417858657,4,3,4.31056129044479,3.78759090318328,2.40658641632129,3.53796848813078,33,3.99584282003343
4,4.10439602673691,5,5.18161379341324,3.01843605808607,3,3,3.91042765827943,3,4,2,4,34,1.85863251890987
2,4,2.73576750126361,4,4,5.24753453199718,3.38307714075482,4,5.72983379784914,4,5.01289459711521,4,35,1.96192333195359
3,4,4,4,1,1,2.56830911020348,2.49241616401621,2.02414450620193,2.25347017023813,2,1,36,2.71127713285387
2.3372573346126,3.36758310528815,2,3,3.39233074281329,2,4,2.50585498999621,1,1.36148365704591,4,3,37,4.85024097561836
4.55646676605205,3,3,4.11580983575895,3.82169263421274,3,4,2,3,3.3322801889776,2,3.05334184305786,38,1.1512144189328
4.63042230898834,2.66756557169301,4,3,4,3.98640261808205,3.5405365771872,4,3,5.27495643239097,4,3,39,1.56191257946193
2.97966805680583,3,3.5,4,4,3.61534998460443,3.40659365290105,3.50141287869581,3,5,4.95459454202186,3.8742110061247,40,2.47707747109234
2,3.5,4,2,4,3,4,4.29372649952872,4.27379016275374,3.52476382156102,3.69831054274369,4.43950772566213,41,2.03789564594626
2.77422912573015,3,4,2,3.23418364907321,3.34577241061908,3,5.67162023944144,3,2,2,3.06436839207604,42,2.30110000725836
4,2,2.23702538625439,3.03238852892495,4,4,1.65741306575211,2,3.183388558105,5,2,4,43,3.87456566561013
2,2,3,2.97905717194213,3,4,2,2.81606293059097,2,2,2.49753736891311,2.84140309441608,44,1.94047911837697
2.66114758454106,3,4,3.94514839388559,4,4,4.59840616551612,3,4,4,4,3.06440051552221,45,1.6909616580233
2,3,2,3.76507609768405,4,4,4,2.39790856902745,4.97138980941081,3.67486498176139,4.31116172704778,3,46,2.41075404454023
3,4,4.58312586559067,4,5.1353525356346,4.65506140025113,5,2.2377846806559,4,3.4166140133057,4,4.01846983915456,47,2.06591422762722
