"O_AesSens","E_Assert","N_Depr","N_EmoVol","O_IntCur","A_Rspct","A_Cmpn","O_CrtvImag","E_EnerLev","A_Trust","N_Anxty","E_Scblty","count","satisfaction"
3.57720303894805,2.5,4,4,4,3.99178051328018,3.8493250670908,4,2.42143386060865,4,5,3.86016977445593,1,2.44805983547121
4,1,2,4,4,5,2.94565273976156,3.99772620473021,5,4,4,3.9359204836998,2,3.47102989908308
5,3,2.33333333333333,1.49964547483362,4.29885711845824,5.1100084657076,5,3.40487278620594,2,3,4,1.69813071716275,3,4.9282027957961
2.40813412048917,3.02323264105965,2.5,3.22350168561917,3,5,3,3,4,1.53649202225722,4,1,4,3.85399926826358
1.26635259159375,4,3,2,2,5,4.34551046154241,3,2,3,4,0.122121126831991,5,4.90692756511271
3.56155569943698,2,2,2,3,4,3.32676243233209,3.74969973927119,4,5,4,2.25685460447487,6,2.13099890574813
4,2,1.5,1.89935243807132,2,4.82284333094361,2.7502303809657,1.21858840063953,3,3,4,2.63248665676984,7,4.72737305425107
2.86691865501723,5,1.33333333333333,2.49713055804918,3,4.62455463049372,5,4,2.83516099049577,3,4,1,8,4.5521211065352
4.13030797192439,3,4,4,3,3.6696783144552,3,2.66442769468692,2.90318934454931,2.8466925659485,5,2,9,4.05322938133031
2.54061010335039,2,1.5,2.90078194798005,3,5,5,3,4,2.24117900129798,4.5,4.29820748029573,10,2.75425301678479
4,4.87745556164685,2,4,4.73079468555878,4,3,4,5,4.51472476176288,4.5,4,11,2.00823993608356
4,4.78535830554704,2,4,3,4,3.26856326509001,3.31247983342415,3,2,4,4,12,4.0753685971722
4.27964385612639,3.78337965101206,1,3,4,4,4.03432365509999,3,4.5,5,3.5,4.29822686030159,13,1.53624327667058
3,3,2,2,2.55658507408292,3.53954381916275,4,5.01315277615673,2.92683693135561,4.61458529482173,2,5,14,4.20901328790933
5,2,2,3,4,3.57285658595562,4.5,2.49719543646779,2,3.2147670563927,1,1.82992557290957,15,3.57892265450209
1.5552929673417,1,1,3,5,5,2,5,3.54515517380245,3.54024638078332,3,3,16,4.23033719323575
2.17771261012896,3,2,2,1,5,3,2,3,2.87751444953705,3,2.33386039707027,17,4.63400314189494
2.93061666202121,5,3,3,4,3,4,4.46231477257448,3.85608859728473,4.82410072513115,4.5,4,18,1.74085231404752
2.39120210358036,2,4,3.47310853045779,3,2,1,1,1,0.964531517179281,5,1.05095304812381,19,3.41380599234253
5,4,2,3,2,4.70612070430166,4.46439344608862,3.85471859103679,4.27553135447783,3.5,2.5,5,20,2.91639530844986
3.59949737771548,3,5,3.38775522863559,2,2.5,3.37235487661626,2,2,3.64209978691107,4.5,0.842068291414917,21,1.60322545934469
3,1.80261182405052,3,3.38466869052077,3,5,4,2.52532995450494,1.22698371539879,2.74442129659199,4.5,3,22,3.55232693906873
