"E_Assert","N_Depr","N_EmoVol","C_Org","A_Rspct","C_Rspnbl","A_Cmpn","E_EnerLev","C_Prdctv","A_Trust","N_Anxty","E_Scblty","count","satisfaction"
3,4,2.27233691580162,3.36930297546203,5,3,1.88949009952284,4,2,2,4,3.16474108124752,1,3.54396635480225
2,2,5,0.474591252278776,3.53508361881764,2.18939629131143,2,2.06110359507766,1.5,1,5,2,2,2.87600264884531
1.21744255582922,3,1,2,5,3.24288259841173,5,1.26774401391587,2,3.70616186601059,5,2,3,2.53178777825087
3.49931189137135,3,5,1,3.5,4.21674740183082,2.4199458874982,3,4.41606162555842,3.11563867735333,5,4,4,1.85182171780616
1,2,3,3.96014463153592,4.41941395224435,4,4,2.3034949203759,3.02554617810567,3.97126287287808,4,3,5,4.30554733984172
3,2,4,4,2.66909124768567,2,4,4,4.09451986668792,3,5,2.70225403746713,6,2.55415479280055
3,3.5,2.86913084033904,2.5,5.1208863702188,4.93228819153376,5,4,3.04897402932664,4,5,2.65458368437383,7,3.71689866110682
1,4,5,2.4947847666165,2.68583149638821,3,4,2.16575537466844,2,2,5,1,8,2.25372123904526
4,2.5,3,3,3,4.31767023022383,3,1,3,3.00592687671452,5,0.196075108632467,9,2.41492971777916
2.05823815971566,5,4.29084051935671,5,4.20514127400641,2.48703743558376,1,1,1,2.12349923783286,5,2,10,4.46961303800344
1.7752152576784,3,2.5,4,3,5,3.67640738741159,2.5,2.32553713830692,3,4,2.6941960964493,11,2.52787394728512
1.82957329433814,3,2,3.34152764200464,4,2.96737561899877,4,3.82860617045774,2,2.9626439151185,3,4,12,1.57978005800396
4,3.5,2,2,4.99010494985253,5,3,2,2.70513681582906,4,5,3.21164445261573,13,2.64957221969962
2.9632536676135,3,3,3,4.16799963877148,2.81225870633393,2.58281654265656,3.33671958229351,3,3,3,3,14,1.35145094711334
2.52609338115743,4,3.3658396973862,3.64832946260537,3.14967677887309,4.33119821318317,4,2.41233583647349,2.5,5,5,3.5,15,1.01997614745051
3,3,5,0.448491595091622,3,2.5,1.75583635947619,3,2.84477893611136,2.02196819267388,3,2.43649001347842,16,2.71274865698069
2.67791091568317,2,4,3,5,4.2898715908867,4.3929107100703,5,5,4.95378051396315,3,5,17,2.43807818554342
3,3,3,3,5.45409768847987,3.84275555153512,3,2.52579664069283,3,3,3,3,18,2.91006335988641
2.50040952629346,3,3,3,4.17247009938653,3.85085310020544,3,2.62617593180927,2.63462992619515,3.40132022898738,3,3,19,3.87954555731267
1,2,1.73913302612962,3,3.37367467906751,3.08516621272072,1,3.02214653300971,1,3,2,1,20,2.46909211110324
3,4,5,4,5,3.28730715317071,4,2,1,2.54321363387038,5,3.89114926611023,21,2.85181038361043
2,3,2,2.15892242484752,5,3,4,2.00160671400945,1.75925875589239,3.61048711673089,4,4,22,1.89996327925473
3,3,3,1.89228681997721,3,3,3,3,3,3.3449167640878,3,4.24597066758596,23,3.6754793850705
3.20432233184537,2.5,3,3,5.11793740179233,4,4.5,5,3.14978695139019,2.76371822949589,4,3,24,1.48287519160658
3.17070596829166,3,2.41017638911967,5,5,4.97052957355953,4.18345462568431,5,4.18222010038267,5,5,4.8259229725981,25,3.55581568647176
1.23356505976734,3,3.85303260787841,2,4,3.31429106999244,3.14418866026434,2.5,1.98941947279807,2.57657004793089,3.5,2.91685315770323,26,3.19625438190997
3,3,3.62660876472371,2.67908765795533,2.80142161725612,3,3,2.99023932732696,3,3,3,3,27,3.12706188764423
3.50647312821733,3,2,3,4,4,3.59970950986896,2.66794953763288,4.52661525552454,3,4,3.5,28,2.32170203700662
3,3,2.37734651492958,1.66265726608592,4.2956804142981,3,3,3,3,4.17856493025515,3,4.3574394013251,29,1.94830022379756
2.94256637283038,2,1.75059270695128,3,3.62140319329427,3.61308098339817,2.64192371954009,1,3.19635825149145,3,3.66666666666667,2.93976849727089,30,1.72418414149433
3,2,2,4,4,3.69527930649568,3.07242887433953,5.07652908858299,4,3.41275050156619,4,3,31,2.47432173509151
4,4.5,5,2,3,2,4,3.27370540332594,2.60680271005834,2.02936049557402,5,4,32,1.12713444232941
1.40103962177505,3,3.6665051215333,4.84200084458665,4,3.54933872927255,4,3,4,5.01372158134481,3.33333333333333,1,33,4.25036042742431
3.24834939193505,3,2.06196447300309,3.48587940762661,6.00736822124966,4,4,3,4,4,4,4,34,4.6575411753729
2,3,2,2,3.5,2.03993425383536,3.05767212014732,1,1,3.30464103900537,4.5,0.284181610080009,35,4.76069075148553
0.582853016761548,2,2,4.99111242960363,3.87428184179538,2.6337759344652,4,1.74607365489234,1.5,3,4,2,36,4.81177378166467
3,3,3.0366742107119,4,3,2,2.94525427485172,2,2.81426696463253,4,3.66666666666667,0.294078350990883,37,2.86481024790555
