"E_Assert","N_Depr","N_EmoVol","C_Org","A_Rspct","C_Rspnbl","A_Cmpn","E_EnerLev","C_Prdctv","A_Trust","N_Anxty","E_Scblty","count","satisfaction"
3,3,4,5.18126428279652,3.5,3.37868800061072,2.49957477089158,4.35419918678785,5,2.38102892504182,3,2,1,3.59749426133931
3,3,2,5,4,5,4,2.29433245603209,1.31593328812576,1.52602563607353,3.5,2,2,4.5344316912815
3.50937240429392,2,2,4,4,2,4,1.41374995836684,3.28932229965037,2.41363312694722,4,2,3,2.69747398979962
4.5,1.5,2,4.11726302437527,4,4.29566822559913,2.61303931641028,3.56105216515384,4,3,2,2.86807613406842,4,1.6672019790858
2.32125999258909,2.33333333333333,2.60652663877602,3.54408066363227,5,4.85999606763195,3.10712558369984,5,5,3,2,1,5,1.77750036120415
4,2,3,2,5,3.94589578003095,3.66335636793059,2,4,5,2,2.77855501017967,6,4.50852415617555
2.51942841576272,2,2,2.23078101286338,4,3.98434814491417,4.57269103536335,3,3,5,3,2,7,3.26433795690536
3,2,2,4,5.25803292741808,3.97906064153151,3,4.54462245824665,5,5,4,2,8,1.58072283491492
2.58092838616007,2,1,2,5,4,4.39240320951949,2.36638420872142,3.67377395366747,2,4,2,9,3.54682612512261
3,2.5,2.80434472287655,2,3,2.82620517802641,3.63335630255512,3,3,3,4,3.20655634749111,10,4.53911334462464
4,1,2,3,5.00021664111345,3.31323208977263,4,3,3.00723356368315,4.14750497293945,5,2.86505687873808,11,2.58818835299462
2.71739691364328,1,1,4,4.87274900757431,4,5,4,1.84689975397847,4,1.5,4,12,1.58404110558331
3,1,1,5,5.43197028575096,5,5,4,5.62993302765587,3.47450114696012,2,4.83927390017372,13,3.67156642861664
3,3,3,4.17127624006897,4.24798529497054,5,3,2.61890044775195,5,3,3,1,14,3.61834491603076
4,2,1.5,4,4,5.06842057564079,3.69197673238667,4,4,3,1,3.6069272918827,15,4.29877108708024
2.78364376425929,1,2.56854588984444,4,3.77432784928373,5,4,3,3.12147075071759,5,2.66666666666667,4,16,3.93117575813085
3.83361295653514,2,1,4.08631570429506,4,3,5,4.04249221168704,4,2.76991068260216,3,2,17,2.00722846388817
2.15326642311049,4,3,3,4,6.45682447441394,3.69232846982178,3,3,3,4,2,18,1.88823175895959
3.40572835596503,3,3.00204761552189,4.52946209967126,4,3.1013662933303,3.78665368272527,3,3,4,4,3,19,4.22567050345242
2.73540598415779,2,1,2.34421110190335,5,4.27244691678645,5.2359906051567,4,4,2.50822691490019,2.5,4.1607903875537,20,2.64785850699991
3,4,4.51501742311461,2.82841563726611,2.98900486598802,3.5,3,1.47840687156719,1.90654266915011,4,4,2.52887187761855,21,1.98574144858867
3,2,1.13192016023846,4,5,4,4,3.78897625187833,5.04800484860639,3.93445620029195,3,4,22,3.9436560627073
5,2,1,4.02416326610975,4.32404441382849,4,4.5,4.38605451273217,3,3.07290538514279,2,4,23,3.98272450920194
3,1.5,2,4.7089908043796,5,4,5,5,4,4.74199516046455,1,5.18856683254314,24,2.67775623407215
2.94593446154029,4,2,3,3.97450449629906,4,3,3,1.27431646084404,2,3,2,25,3.69636622164398
1.22665684200086,4,2,2,3.45526073765276,3.48196599716442,3,1.40228642858234,1,2.99351655060332,4,2,26,3.01656616758555
4,3.5,3,4,4,4,2.86964733668169,3,2.83702479797601,3,3,4.79193493739719,27,4.90699464734644
1.81000473404385,4,4,2,4,4,3,3,2.83704976790507,3.59813406099331,3.5,3,28,1.74432583898306
3,3,3.63569158351092,3.51466645357068,5,4,5.13659007178532,2.54237862445767,2,2,2,2,29,1.48614216875285
2.69839773532893,3.66666666666667,3.60351212117362,4,3.58548244427912,4,4,3.53415691276267,3.00592219615009,4,4,2,30,1.15459783188999
2.30168078347742,5,4,2,2.61897811373716,2,3.16676913482867,2,0.491039727838359,4,4,1.25285571806464,31,3.24236624035984
3,4,4,3,4,3,3,1.89640808714808,2.29831316738897,2.48833814307872,4,2,32,3.00935236830264
1.82162525472756,5,5,1.85208549718184,4,3,3,2,2,2.79284300116758,4,1,33,3.05456368904561
4,3,4,2,4,3.085174283358,3.24830290115389,2.30194843073036,4,3.27070534517213,3.5,2,34,3.16796188987792
2.79158725523483,4,4,2.76897411695925,4,4,4,2,2,2.98256698819656,3.5,2,35,3.217574830167
1.67031339558957,3.5,3,3.09904289381691,2.73123258295505,3.5,4,2,3.64980178829957,2,4,1.8070119585278,36,4.12294703722
3.87313821127431,3,2,4,3.89536898805031,4,4,2,3.45454297047586,3,2,3.9214482906532,37,1.6600249428302
2.90951588899671,2.5,3,4,5,3.29593252813766,3.19749973217513,2,4,5,3,1,38,2.94764658529311
4,2,2,3.24063791362936,4,2,3.55112746735306,4,2,3,2,2.63641117767713,39,4.51496194303036
2.47662177843623,1,2,4,4.84183144081655,5,4,2.5,4.97781083424444,3.44588892044733,2,3.78343341716294,40,1.48390170373023
2.38059890654077,2,2,4,5,3.89525872359648,3.40095862731984,4,4,4,2,3,41,4.492755362764
