"O_AesSens","N_Depr","N_EmoVol","O_IntCur","C_Org","A_Rspct","C_Rspnbl","A_Cmpn","O_CrtvImag","C_Prdctv","A_Trust","N_Anxty","count","satisfaction"
1,1,1.5,1,2.802590911979,4.27651840555838,4,4,1.53243270013206,2,3,3,1,1.30638099089265
3.65599824510875,1,2,1,1,4.13152841713949,2,4,1,2.46303095629153,4,3,2,4.24598260875791
2.75865262224224,2,2,4,4.97906860925889,3,4,4,3,5,2.84534990869881,2,3,3.67612073849887
5,1,3,1,3.5081962274885,4,3.60761150780327,4,2.38600816634202,2.5,3.59328065125922,3,4,2.36725130025297
2,1,2,2.71839550091922,2,4.22250723417046,2.74311472797389,4.5,4,1,4.11517951581513,4,5,4.95384556334466
1,3.5,2.89669594383638,2.34309346258061,5,3.71151030503474,2,3.62699479198698,2,1.9748979738669,2.5,4,6,2.09564104303718
2.04590649249474,2.5,3,2,6.00755260988337,4.23663588049303,3.5,4,2,3.60542612372621,4,2,7,1.46186471171677
1,2,3,4.64640072700499,2,4,3.24029199058154,4,2,4,4.30697874788699,4,8,1.79602229595184
1,2.5,3,2.69216334749283,3,4,3.28902346409636,5.21019723422121,2,3.0632025601691,4,4,9,3.87538841273636
4.06452257798424,1.5,2,3,3,4.5,2,3.77378213572159,3,1.46502166709593,4.48701508920839,3,10,4.96452578529716
4,1.5,2.3510047148962,1,3,5,2.12925684678511,3.15340161079462,2.15881545335514,1,3,1.5,11,4.38286224938929
2.45057848101733,3,3,1,2.22584281010516,4.5,3,2.23272224100625,2,1,3.37501765887844,4,12,3.60827151592821
1,4,4,2.39276692310778,2,4.5,3,3.38351031986267,1.88651855010751,2.34360298816796,3.15805752200377,4.5,13,1.24238822236657
2.63745635785029,3,2.5,1,1.12046090532198,5,3,3.57235246918097,2,2,5,4,14,2.31630739476532
3.5,1,1,3.69354731676607,5.02415568591671,5,4,4.37538874652341,2.89355491401888,3,5,1,15,1.82092838548124
2.74519503480373,2,2,2,2,5,3.98264217801693,5.09770642136877,3.28571970956152,2,4,2,16,4.81666572485119
1,2,3,4.49650336458149,2,5,4.93516945616916,4.55018879321613,5,2.005880515487,5,2,17,3.38792608492076
2,2,4,2,3,4,3.30161387686691,3,3.45444528003168,2,4.3044717766074,5,18,3.18642560858279
3.66168867210451,2,1.5,4.12647084785562,4,4.05593639905132,5,4,2.5,3.27947472600604,4.16680201894579,2,19,1.42749438714236
1,2,4,3.09205529122534,4,4.17169032011839,3.49594563810498,4,1,3.05635219025647,3,4,20,4.258749878034
4,2,4,5.68545880865772,2,5.32725670083131,3.52156189676247,4,2,4,5,3,21,1.08099121134728
4.2716853610734,1,1,4,4.43468507036851,3.92694899035993,5,5,4,3,3,2,22,4.94540281128138
1,5,5,2.33519243902533,1.40337031635222,4,3,3,0.446476740793127,2,2.94851712478645,5,23,3.33372464682907
1,1,2,2.27988986052116,5,4.45497205684884,3.80823750415577,3.34393924366253,2,4,4,3.5,24,3.1984724001959
2.50175763352826,3,3,2,3.29824199810086,3.42456655137796,3,3,2,1,4.13881667183434,2,25,2.1902184067294
