"O_AesSens","N_Depr","N_EmoVol","O_IntCur","C_Org","A_Rspct","C_Rspnbl","A_Cmpn","O_CrtvImag","C_Prdctv","A_Trust","N_Anxty","count","satisfaction"
3.0225331565864,3.5,2.98194375392735,3,2.60284205857053,4.18637164852118,4,3,1.99991329195226,3,3,3,1,1.82596110086888
4,3,2.5,4,2.61896626651977,4,3.5,3,2.47609957474226,2.19666439680722,2.42618852802883,3,2,3.61868982668966
2.59439250511291,2,2,4.77375320755617,3.54360001204243,4,4,3,2.5,3,3.70950163832822,1.5,3,3.04442954901606
2,3,3.22727548613534,4,3,4,1.31348033154658,3.09784251377927,3.08897650391055,2,4,2.66666666666667,4,2.73667175788432
2,3,4.43618267460174,2,2.41020416271879,4,3.380618590106,3.83277593851274,3.41455251061602,2,2,3,5,2.15590134914964
3.60773710170654,3,2,4,3.48681431332896,4,3,3.4954651924153,2,4,3,2,6,1.61226728651673
4,3,3,3.77170281591182,3,4,3.03421311824998,4,2,2,2.64410041079434,3.5,7,1.33818010799587
2.87689110198051,3,2,4,2.5,4.03493362923603,2.81230426551741,2,3,4.001387622968,4,3,8,2.93005870096385
3.17663755402084,1,2.43438336144,3.5,4.05499270321684,4.51412841441337,3.3275790769105,3,4.17225940594983,3.5,2,2.33333333333333,9,2.34398917015642
2.94351129153543,2,2,4,5.15026516145905,5,4,4,4,4,3.07498580172366,2,10,3.05977094825357
3,2,2.84174784215605,2.68615939412972,4,3,2,4.35781054952961,1.29562547422457,2.86632202591344,3,3,11,3.04363245517015
3.34606239301515,3.5,2.19671658833599,3,2,3.14960900167849,4,3,3.92902182584204,3.49137857453215,4,2,12,1.30037942808121
3,3,3,3.71488540622118,3,3.52581664547344,4.26105733441403,3.5,3,3,3.07556933673499,3,13,3.00870323833078
2,1.5,4,2.78296401735163,3.25466078095622,3,3.15510293756464,2.83430601907057,2,2.5,4,3,14,3.35790875926614
3,3,3,2.02225232412497,2.26151563342369,4,3,3.09071411599122,4,3,3.67307229461457,3,15,1.9695706339553
2,3,3,4,3.61514869736323,4,4.54447575962474,4.41450442984402,1.38103613659247,2,3,3.5,16,2.21752623841166
2.71209472149453,2.5,2,3,3.56194513942742,4,4,4.98326858923552,4,3,4,2,17,3.64598433021456
1.99864114758104,3,3,3.90897801081202,4,3.81717410885382,3,3,3,4.76459769255331,3,2,18,2.76584637351334
2.88909985580253,2.5,2,3,4.12124998910018,4.9562362515627,3.77545879319924,4,3,4,4,3,19,4.07310275919735
2,2,2,3,4,4,2.78841313377693,4,4.49639023959973,3,3.74998781320433,3,20,2.3204311132431
4.31699781135959,3,3,3.21300069830073,3,4.92452635278043,4.08680458523454,4.45201218332304,3.5,3.52350965346063,3,3,21,1.41645241994411
3,2,3,1.6561418761349,2,2,3.48187063335662,3.72970614312794,2.75927023687764,3,3,3.5,22,1.26544483006001
3.10093238210211,3.5,3,3,4.1904359332594,3.5,4,3.75972428559827,3,3,2.82672812345378,3,23,4.08607147727162
4.47353497064676,3,4,4,2.5,3,3.38349156863215,4,2,1.5955970921256,3.56494579452522,3,24,2.53731117863208
2,4.5,4,2,2.8380651805393,3.33322255663865,2,2,2.85712357405959,2,2,4,25,2.67806281894445
3,5,5,3,3,2.73767663966952,2,3,3.00302681915971,1.15453198043702,1,4,26,2.42322257254273
2,5,5,3.39427299005285,2,3,4,2.49835384808566,3,2.06224612045128,1,4,27,1.34750874713063
3,3,2.56505902343795,3,4.59174552733738,3.15977819683086,3,3.81332750586333,4.46774596942213,3,3,3,28,1.05553012154996
3.35376837213121,4,4,4.5,2.01748951362882,3.93410583722324,4,2,2.18743149412849,2,3,3,29,3.54566932097077
2,3,5,3,3.19621245690906,3.04748980073201,3,3.22812126212529,2.72651556216277,2,2.5,3.45377914492698,30,1.73754556104541
3,2,3,2.73322700355536,4.04757037595165,4.00913662015494,2.45856293881095,3,3,2,3.55256764779119,3,31,4.51196748949587
3,4,5,3,2,3,1.96673601370197,1.79039358510985,2.92176577821176,3,3,4,32,1.72550579626113
3,3,3,3.5362258217946,2,3,3,4.04301327973962,2.8204146757646,2.26494646255841,3,3,33,1.89401467889547
3,4,4,2.52047308304326,3.75260755902995,4.01894567945848,3,3,3,3,2.56653884857364,2,34,4.62474225461483
3,3,3,3,3,3,2.09910893698602,2.38385648022324,3.06881931909495,2.36052476590955,2,3,35,3.00112519133836
4.18800748093146,2.5,1,4,3,4.5,4,4.11761970202284,4,4.40701150172035,2.99164360323291,2,36,1.02601358946413
3.08012095114636,2.5,2,3,3.37170314774657,4,4,4.13145498060437,2,2,4,3,37,3.11725573241711
4,2.5,4,3.60705508369956,2.64102055350156,3,3,3,3,3,4.50473757905345,3,38,3.10697510279715
2,2,2,3,3.39676618876676,4,3.68683556686286,4,2.08481284743132,2.5,4.02473919784914,1.5,39,2.65464674495161
3,3,1.62057904167631,2.96341227612618,2,4.81219599213925,3.34463805933842,4.25334678410941,4.34880670845674,2,3.5,2,40,2.78696199972183
3,2,2,3,2.23087847083331,4.49004935746811,3,3,2.40792098093002,4.02282302031114,3,2.5,41,2.82974585704505
3.5280903082327,3,4,4,3.74157812380488,4,3,3.05546067726645,3,3,4,3.5,42,1.08594010211527
1.65339635306258,3,4,2,2,3.62686014152666,3.35413480275362,3,3,3,3,3,43,3.58944255579263
4.09102567082432,3,2,3.71761493249302,3,3,3,3,3,0.758266355273157,3.00427175619007,3,44,4.53058617096394
4.31642785232144,4,3.58981018157528,4.21738466014925,3,4.7498074001813,4,3.31520170812149,3.5,3.41029483492839,3.5,3.5,45,1.29430475644767
